day,date,type,property,report
22,23/01/2026,report,228,"Property ID 228 (chicken-egg-farm), 31.2 ha cattle property at location (x,y)=(150.91, -31.01), Moore Creek Road, Moore Creek, Tamworth Regional Council, New South Wales, 2340, Australia, has been reported possible infection."
22,23/01/2026,summary,,Total culled properties: 0; total vaccinated properties: 0; total culled animals: 0; total properties in restricted area: 0; total properties in control area: 0; DCPs_positive_clinical_test_pending: 0; DCPs_negative_clinical_test_pending: 0
