time,moving from index,moving to index,report
2,282,100,DAY 03/11/2024 - moved 20 animals from property ID 282 (farm) to property ID 100 (saleyard)
2,290,143,DAY 03/11/2024 - moved 1 animals from property ID 290 (feedlot) to property ID 143 (abbattoir)
2,290,143,DAY 03/11/2024 - moved 1 animals from property ID 290 (feedlot) to property ID 143 (abbattoir)
2,292,107,DAY 03/11/2024 - moved 1 animals from property ID 292 (farm) to property ID 107 (feedlot)
3,26,100,DAY 04/11/2024 - moved 2 animals from property ID 26 (stud farm) to property ID 100 (saleyard)
3,26,277,DAY 04/11/2024 - moved 2 animals from property ID 26 (stud farm) to property ID 277 (saleyard)
3,26,277,DAY 04/11/2024 - moved 3 animals from property ID 26 (stud farm) to property ID 277 (saleyard)
3,26,100,DAY 04/11/2024 - moved 3 animals from property ID 26 (stud farm) to property ID 100 (saleyard)
3,26,139,DAY 04/11/2024 - moved 3 animals from property ID 26 (stud farm) to property ID 139 (saleyard)
3,28,26,DAY 04/11/2024 - moved 1 animals from property ID 28 (farm) to property ID 26 (stud farm)
3,45,290,DAY 04/11/2024 - moved 1 animals from property ID 45 (farm) to property ID 290 (feedlot)
3,48,295,DAY 04/11/2024 - moved 2 animals from property ID 48 (farm) to property ID 295 (farm)
3,51,137,DAY 04/11/2024 - moved 1 animals from property ID 51 (farm) to property ID 137 (trader)
3,63,255,DAY 04/11/2024 - moved 1 animals from property ID 63 (farm) to property ID 255 (farm)
3,65,290,DAY 04/11/2024 - moved 7 animals from property ID 65 (farm) to property ID 290 (feedlot)
3,66,143,DAY 04/11/2024 - moved 4 animals from property ID 66 (farm) to property ID 143 (abbattoir)
3,83,240,DAY 04/11/2024 - moved 15 animals from property ID 83 (farm) to property ID 240 (farm)
3,86,26,DAY 04/11/2024 - moved 1 animals from property ID 86 (farm) to property ID 26 (stud farm)
3,110,26,DAY 04/11/2024 - moved 3 animals from property ID 110 (farm) to property ID 26 (stud farm)
3,115,290,DAY 04/11/2024 - moved 17 animals from property ID 115 (farm) to property ID 290 (feedlot)
3,119,212,DAY 04/11/2024 - moved 21 animals from property ID 119 (farm) to property ID 212 (trader)
3,124,43,DAY 04/11/2024 - moved 4 animals from property ID 124 (farm) to property ID 43 (feedlot)
3,125,65,DAY 04/11/2024 - moved 1 animals from property ID 125 (farm) to property ID 65 (farm)
3,138,139,DAY 04/11/2024 - moved 5 animals from property ID 138 (farm) to property ID 139 (saleyard)
3,139,26,DAY 04/11/2024 - moved 61 animals from property ID 139 (saleyard) to property ID 26 (stud farm)
3,150,290,DAY 04/11/2024 - moved 8 animals from property ID 150 (trader) to property ID 290 (feedlot)
3,151,26,DAY 04/11/2024 - moved 1 animals from property ID 151 (farm) to property ID 26 (stud farm)
3,166,43,DAY 04/11/2024 - moved 2 animals from property ID 166 (farm) to property ID 43 (feedlot)
3,171,272,DAY 04/11/2024 - moved 7 animals from property ID 171 (trader) to property ID 272 (feedlot)
