time,moving from index,moving to index,report
2,137,172,DAY 03/11/2024 - moved 2 animals from property ID 137 (farm) to property ID 172 (farm)
2,144,223,DAY 03/11/2024 - moved 12 animals from property ID 144 (feedlot) to property ID 223 (abbattoir)
2,153,192,DAY 03/11/2024 - moved 4 animals from property ID 153 (saleyard) to property ID 192 (farm)
2,153,58,DAY 03/11/2024 - moved 4 animals from property ID 153 (saleyard) to property ID 58 (farm)
2,157,223,DAY 03/11/2024 - moved 3 animals from property ID 157 (feedlot) to property ID 223 (abbattoir)
2,176,94,DAY 03/11/2024 - moved 1 animals from property ID 176 (farm) to property ID 94 (feedlot)
2,181,196,DAY 03/11/2024 - moved 1 animals from property ID 181 (farm) to property ID 196 (feedlot)
2,183,223,DAY 03/11/2024 - moved 2 animals from property ID 183 (farm) to property ID 223 (abbattoir)
2,196,223,DAY 03/11/2024 - moved 23 animals from property ID 196 (feedlot) to property ID 223 (abbattoir)
2,196,223,DAY 03/11/2024 - moved 24 animals from property ID 196 (feedlot) to property ID 223 (abbattoir)
2,206,157,DAY 03/11/2024 - moved 11 animals from property ID 206 (farm) to property ID 157 (feedlot)
2,247,21,DAY 03/11/2024 - moved 1 animals from property ID 247 (trader) to property ID 21 (stud farm)
2,247,102,DAY 03/11/2024 - moved 2 animals from property ID 247 (trader) to property ID 102 (trader)
2,251,157,DAY 03/11/2024 - moved 1 animals from property ID 251 (farm) to property ID 157 (feedlot)
2,278,143,DAY 03/11/2024 - moved 1 animals from property ID 278 (trader) to property ID 143 (farm)
2,278,107,DAY 03/11/2024 - moved 2 animals from property ID 278 (trader) to property ID 107 (farm)
2,278,60,DAY 03/11/2024 - moved 2 animals from property ID 278 (trader) to property ID 60 (farm)
3,2,298,DAY 04/11/2024 - moved 1 animals from property ID 2 (farm) to property ID 298 (farm)
3,7,140,DAY 04/11/2024 - moved 35 animals from property ID 7 (trader) to property ID 140 (farm)
3,10,102,DAY 04/11/2024 - moved 12 animals from property ID 10 (farm) to property ID 102 (trader)
3,16,281,DAY 04/11/2024 - moved 6 animals from property ID 16 (farm) to property ID 281 (farm)
3,17,102,DAY 04/11/2024 - moved 51 animals from property ID 17 (farm) to property ID 102 (trader)
3,21,153,DAY 04/11/2024 - moved 11 animals from property ID 21 (stud farm) to property ID 153 (saleyard)
3,21,246,DAY 04/11/2024 - moved 10 animals from property ID 21 (stud farm) to property ID 246 (farm)
3,21,102,DAY 04/11/2024 - moved 10 animals from property ID 21 (stud farm) to property ID 102 (trader)
3,21,122,DAY 04/11/2024 - moved 10 animals from property ID 21 (stud farm) to property ID 122 (farm)
3,28,153,DAY 04/11/2024 - moved 2 animals from property ID 28 (farm) to property ID 153 (saleyard)
3,33,267,DAY 04/11/2024 - moved 9 animals from property ID 33 (farm) to property ID 267 (saleyard)
3,37,94,DAY 04/11/2024 - moved 1 animals from property ID 37 (farm) to property ID 94 (feedlot)
3,39,223,DAY 04/11/2024 - moved 1 animals from property ID 39 (saleyard) to property ID 223 (abbattoir)
3,39,22,DAY 04/11/2024 - moved 1 animals from property ID 39 (saleyard) to property ID 22 (farm)
3,43,21,DAY 04/11/2024 - moved 4 animals from property ID 43 (farm) to property ID 21 (stud farm)
3,64,144,DAY 04/11/2024 - moved 11 animals from property ID 64 (farm) to property ID 144 (feedlot)
3,79,126,DAY 04/11/2024 - moved 3 animals from property ID 79 (farm) to property ID 126 (farm)
3,85,0,DAY 04/11/2024 - moved 1 animals from property ID 85 (farm) to property ID 0 (farm)
3,87,196,DAY 04/11/2024 - moved 11 animals from property ID 87 (farm) to property ID 196 (feedlot)
3,89,12,DAY 04/11/2024 - moved 1 animals from property ID 89 (farm) to property ID 12 (farm)
3,92,187,DAY 04/11/2024 - moved 4 animals from property ID 92 (farm) to property ID 187 (farm)
3,106,153,DAY 04/11/2024 - moved 7 animals from property ID 106 (saleyard) to property ID 153 (saleyard)
3,106,278,DAY 04/11/2024 - moved 8 animals from property ID 106 (saleyard) to property ID 278 (trader)
3,126,247,DAY 04/11/2024 - moved 1 animals from property ID 126 (farm) to property ID 247 (trader)
3,133,21,DAY 04/11/2024 - moved 1 animals from property ID 133 (farm) to property ID 21 (stud farm)
3,135,223,DAY 04/11/2024 - moved 19 animals from property ID 135 (farm) to property ID 223 (abbattoir)
3,144,223,DAY 04/11/2024 - moved 6 animals from property ID 144 (feedlot) to property ID 223 (abbattoir)
3,144,223,DAY 04/11/2024 - moved 6 animals from property ID 144 (feedlot) to property ID 223 (abbattoir)
3,153,21,DAY 04/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 21 (stud farm)
3,153,196,DAY 04/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 196 (feedlot)
3,153,95,DAY 04/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 95 (farm)
3,153,144,DAY 04/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 144 (feedlot)
3,155,173,DAY 04/11/2024 - moved 1 animals from property ID 155 (farm) to property ID 173 (farm)
3,157,223,DAY 04/11/2024 - moved 2 animals from property ID 157 (feedlot) to property ID 223 (abbattoir)
3,157,223,DAY 04/11/2024 - moved 2 animals from property ID 157 (feedlot) to property ID 223 (abbattoir)
3,175,223,DAY 04/11/2024 - moved 4 animals from property ID 175 (farm) to property ID 223 (abbattoir)
3,177,196,DAY 04/11/2024 - moved 9 animals from property ID 177 (farm) to property ID 196 (feedlot)
3,193,102,DAY 04/11/2024 - moved 9 animals from property ID 193 (farm) to property ID 102 (trader)
3,205,157,DAY 04/11/2024 - moved 1 animals from property ID 205 (farm) to property ID 157 (feedlot)
3,215,144,DAY 04/11/2024 - moved 22 animals from property ID 215 (farm) to property ID 144 (feedlot)
3,225,7,DAY 04/11/2024 - moved 1 animals from property ID 225 (farm) to property ID 7 (trader)
3,235,21,DAY 04/11/2024 - moved 1 animals from property ID 235 (farm) to property ID 21 (stud farm)
3,249,102,DAY 04/11/2024 - moved 1 animals from property ID 249 (farm) to property ID 102 (trader)
3,259,284,DAY 04/11/2024 - moved 8 animals from property ID 259 (farm) to property ID 284 (farm)
3,278,21,DAY 04/11/2024 - moved 2 animals from property ID 278 (trader) to property ID 21 (stud farm)
3,278,44,DAY 04/11/2024 - moved 1 animals from property ID 278 (trader) to property ID 44 (farm)
3,278,94,DAY 04/11/2024 - moved 1 animals from property ID 278 (trader) to property ID 94 (feedlot)
3,291,102,DAY 04/11/2024 - moved 1 animals from property ID 291 (farm) to property ID 102 (trader)
3,295,196,DAY 04/11/2024 - moved 8 animals from property ID 295 (farm) to property ID 196 (feedlot)
4,0,196,DAY 05/11/2024 - moved 2 animals from property ID 0 (farm) to property ID 196 (feedlot)
4,7,211,DAY 05/11/2024 - moved 28 animals from property ID 7 (trader) to property ID 211 (farm)
4,21,278,DAY 05/11/2024 - moved 35 animals from property ID 21 (stud farm) to property ID 278 (trader)
4,30,106,DAY 05/11/2024 - moved 1 animals from property ID 30 (farm) to property ID 106 (saleyard)
4,31,162,DAY 05/11/2024 - moved 1 animals from property ID 31 (farm) to property ID 162 (farm)
4,39,144,DAY 05/11/2024 - moved 1 animals from property ID 39 (saleyard) to property ID 144 (feedlot)
4,47,21,DAY 05/11/2024 - moved 5 animals from property ID 47 (farm) to property ID 21 (stud farm)
4,69,102,DAY 05/11/2024 - moved 1 animals from property ID 69 (farm) to property ID 102 (trader)
4,72,153,DAY 05/11/2024 - moved 8 animals from property ID 72 (farm) to property ID 153 (saleyard)
4,73,144,DAY 05/11/2024 - moved 1 animals from property ID 73 (farm) to property ID 144 (feedlot)
4,84,7,DAY 05/11/2024 - moved 12 animals from property ID 84 (farm) to property ID 7 (trader)
4,86,144,DAY 05/11/2024 - moved 3 animals from property ID 86 (farm) to property ID 144 (feedlot)
4,102,267,DAY 05/11/2024 - moved 23 animals from property ID 102 (trader) to property ID 267 (saleyard)
4,106,140,DAY 05/11/2024 - moved 6 animals from property ID 106 (saleyard) to property ID 140 (farm)
4,106,102,DAY 05/11/2024 - moved 6 animals from property ID 106 (saleyard) to property ID 102 (trader)
4,127,223,DAY 05/11/2024 - moved 1 animals from property ID 127 (farm) to property ID 223 (abbattoir)
4,129,102,DAY 05/11/2024 - moved 1 animals from property ID 129 (farm) to property ID 102 (trader)
4,142,39,DAY 05/11/2024 - moved 62 animals from property ID 142 (farm) to property ID 39 (saleyard)
4,152,223,DAY 05/11/2024 - moved 3 animals from property ID 152 (farm) to property ID 223 (abbattoir)
4,154,106,DAY 05/11/2024 - moved 1 animals from property ID 154 (farm) to property ID 106 (saleyard)
4,162,21,DAY 05/11/2024 - moved 1 animals from property ID 162 (farm) to property ID 21 (stud farm)
4,186,144,DAY 05/11/2024 - moved 5 animals from property ID 186 (farm) to property ID 144 (feedlot)
4,188,223,DAY 05/11/2024 - moved 1 animals from property ID 188 (farm) to property ID 223 (abbattoir)
4,194,46,DAY 05/11/2024 - moved 2 animals from property ID 194 (farm) to property ID 46 (farm)
4,196,223,DAY 05/11/2024 - moved 23 animals from property ID 196 (feedlot) to property ID 223 (abbattoir)
4,196,223,DAY 05/11/2024 - moved 24 animals from property ID 196 (feedlot) to property ID 223 (abbattoir)
4,199,21,DAY 05/11/2024 - moved 1 animals from property ID 199 (farm) to property ID 21 (stud farm)
4,204,106,DAY 05/11/2024 - moved 3 animals from property ID 204 (farm) to property ID 106 (saleyard)
4,217,106,DAY 05/11/2024 - moved 1 animals from property ID 217 (farm) to property ID 106 (saleyard)
4,221,94,DAY 05/11/2024 - moved 1 animals from property ID 221 (farm) to property ID 94 (feedlot)
4,228,196,DAY 05/11/2024 - moved 2 animals from property ID 228 (farm) to property ID 196 (feedlot)
4,229,106,DAY 05/11/2024 - moved 1 animals from property ID 229 (farm) to property ID 106 (saleyard)
4,247,147,DAY 05/11/2024 - moved 1 animals from property ID 247 (trader) to property ID 147 (farm)
4,247,94,DAY 05/11/2024 - moved 2 animals from property ID 247 (trader) to property ID 94 (feedlot)
4,253,106,DAY 05/11/2024 - moved 1 animals from property ID 253 (farm) to property ID 106 (saleyard)
4,264,10,DAY 05/11/2024 - moved 2 animals from property ID 264 (farm) to property ID 10 (farm)
4,267,196,DAY 05/11/2024 - moved 7 animals from property ID 267 (saleyard) to property ID 196 (feedlot)
4,267,21,DAY 05/11/2024 - moved 7 animals from property ID 267 (saleyard) to property ID 21 (stud farm)
4,270,196,DAY 05/11/2024 - moved 3 animals from property ID 270 (farm) to property ID 196 (feedlot)
4,272,94,DAY 05/11/2024 - moved 1 animals from property ID 272 (farm) to property ID 94 (feedlot)
4,278,21,DAY 05/11/2024 - moved 5 animals from property ID 278 (trader) to property ID 21 (stud farm)
4,290,211,DAY 05/11/2024 - moved 1 animals from property ID 290 (farm) to property ID 211 (farm)
5,7,247,DAY 06/11/2024 - moved 25 animals from property ID 7 (trader) to property ID 247 (trader)
5,21,54,DAY 06/11/2024 - moved 8 animals from property ID 21 (stud farm) to property ID 54 (farm)
5,21,267,DAY 06/11/2024 - moved 8 animals from property ID 21 (stud farm) to property ID 267 (saleyard)
5,21,102,DAY 06/11/2024 - moved 8 animals from property ID 21 (stud farm) to property ID 102 (trader)
5,21,106,DAY 06/11/2024 - moved 8 animals from property ID 21 (stud farm) to property ID 106 (saleyard)
5,49,223,DAY 06/11/2024 - moved 1 animals from property ID 49 (farm) to property ID 223 (abbattoir)
5,56,196,DAY 06/11/2024 - moved 37 animals from property ID 56 (farm) to property ID 196 (feedlot)
5,75,21,DAY 06/11/2024 - moved 4 animals from property ID 75 (farm) to property ID 21 (stud farm)
5,90,223,DAY 06/11/2024 - moved 1 animals from property ID 90 (farm) to property ID 223 (abbattoir)
5,102,171,DAY 06/11/2024 - moved 10 animals from property ID 102 (trader) to property ID 171 (farm)
5,102,254,DAY 06/11/2024 - moved 10 animals from property ID 102 (trader) to property ID 254 (farm)
5,106,21,DAY 06/11/2024 - moved 1 animals from property ID 106 (saleyard) to property ID 21 (stud farm)
5,106,39,DAY 06/11/2024 - moved 2 animals from property ID 106 (saleyard) to property ID 39 (saleyard)
5,106,165,DAY 06/11/2024 - moved 2 animals from property ID 106 (saleyard) to property ID 165 (farm)
5,106,223,DAY 06/11/2024 - moved 2 animals from property ID 106 (saleyard) to property ID 223 (abbattoir)
5,106,157,DAY 06/11/2024 - moved 2 animals from property ID 106 (saleyard) to property ID 157 (feedlot)
5,106,175,DAY 06/11/2024 - moved 2 animals from property ID 106 (saleyard) to property ID 175 (farm)
5,108,247,DAY 06/11/2024 - moved 1 animals from property ID 108 (farm) to property ID 247 (trader)
5,109,247,DAY 06/11/2024 - moved 1 animals from property ID 109 (farm) to property ID 247 (trader)
5,119,144,DAY 06/11/2024 - moved 5 animals from property ID 119 (farm) to property ID 144 (feedlot)
5,146,173,DAY 06/11/2024 - moved 10 animals from property ID 146 (farm) to property ID 173 (farm)
5,148,106,DAY 06/11/2024 - moved 1 animals from property ID 148 (farm) to property ID 106 (saleyard)
5,153,21,DAY 06/11/2024 - moved 3 animals from property ID 153 (saleyard) to property ID 21 (stud farm)
5,153,106,DAY 06/11/2024 - moved 3 animals from property ID 153 (saleyard) to property ID 106 (saleyard)
5,153,223,DAY 06/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 223 (abbattoir)
5,153,21,DAY 06/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 21 (stud farm)
5,153,21,DAY 06/11/2024 - moved 2 animals from property ID 153 (saleyard) to property ID 21 (stud farm)
5,179,278,DAY 06/11/2024 - moved 2 animals from property ID 179 (farm) to property ID 278 (trader)
5,214,94,DAY 06/11/2024 - moved 3 animals from property ID 214 (farm) to property ID 94 (feedlot)
5,224,21,DAY 06/11/2024 - moved 1 animals from property ID 224 (farm) to property ID 21 (stud farm)
5,232,288,DAY 06/11/2024 - moved 11 animals from property ID 232 (farm) to property ID 288 (farm)
5,233,290,DAY 06/11/2024 - moved 1 animals from property ID 233 (farm) to property ID 290 (farm)
5,256,223,DAY 06/11/2024 - moved 7 animals from property ID 256 (farm) to property ID 223 (abbattoir)
5,263,152,DAY 06/11/2024 - moved 1 animals from property ID 263 (farm) to property ID 152 (farm)
5,267,151,DAY 06/11/2024 - moved 16 animals from property ID 267 (saleyard) to property ID 151 (farm)
5,276,157,DAY 06/11/2024 - moved 24 animals from property ID 276 (farm) to property ID 157 (feedlot)
5,278,45,DAY 06/11/2024 - moved 11 animals from property ID 278 (trader) to property ID 45 (farm)
5,294,21,DAY 06/11/2024 - moved 1 animals from property ID 294 (farm) to property ID 21 (stud farm)
6,7,228,DAY 07/11/2024 - moved 20 animals from property ID 7 (trader) to property ID 228 (farm)
6,12,39,DAY 07/11/2024 - moved 2 animals from property ID 12 (farm) to property ID 39 (saleyard)
6,21,247,DAY 07/11/2024 - moved 10 animals from property ID 21 (stud farm) to property ID 247 (trader)
6,21,220,DAY 07/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 220 (farm)
6,21,167,DAY 07/11/2024 - moved 9 animals from property ID 21 (stud farm) to property ID 167 (farm)
6,48,223,DAY 07/11/2024 - moved 3 animals from property ID 48 (farm) to property ID 223 (abbattoir)
6,51,231,DAY 07/11/2024 - moved 27 animals from property ID 51 (farm) to property ID 231 (farm)
