time,moving from index,moving to index,report
2,120,30,DAY 03/11/2024 - moved 2 animals from property ID 120 (saleyard) to property ID 30 (abbattoir)
2,147,7,DAY 03/11/2024 - moved 1 animals from property ID 147 (farm) to property ID 7 (saleyard)
2,154,65,DAY 03/11/2024 - moved 1 animals from property ID 154 (farm) to property ID 65 (trader)
2,160,7,DAY 03/11/2024 - moved 15 animals from property ID 160 (saleyard) to property ID 7 (saleyard)
2,160,100,DAY 03/11/2024 - moved 16 animals from property ID 160 (saleyard) to property ID 100 (saleyard)
2,172,101,DAY 03/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 101 (farm)
2,172,56,DAY 03/11/2024 - moved 1 animals from property ID 172 (trader) to property ID 56 (feedlot)
2,186,141,DAY 03/11/2024 - moved 1 animals from property ID 186 (trader) to property ID 141 (farm)
2,198,160,DAY 03/11/2024 - moved 2 animals from property ID 198 (farm) to property ID 160 (saleyard)
2,209,31,DAY 03/11/2024 - moved 1 animals from property ID 209 (farm) to property ID 31 (farm)
2,212,240,DAY 03/11/2024 - moved 1 animals from property ID 212 (farm) to property ID 240 (feedlot)
2,218,186,DAY 03/11/2024 - moved 23 animals from property ID 218 (farm) to property ID 186 (trader)
2,234,160,DAY 03/11/2024 - moved 1 animals from property ID 234 (farm) to property ID 160 (saleyard)
2,252,30,DAY 03/11/2024 - moved 1 animals from property ID 252 (farm) to property ID 30 (abbattoir)
2,263,172,DAY 03/11/2024 - moved 17 animals from property ID 263 (farm) to property ID 172 (trader)
2,297,188,DAY 03/11/2024 - moved 15 animals from property ID 297 (trader) to property ID 188 (feedlot)
3,0,202,DAY 04/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 202 (farm)
3,0,120,DAY 04/11/2024 - moved 3 animals from property ID 0 (stud farm) to property ID 120 (saleyard)
3,0,120,DAY 04/11/2024 - moved 3 animals from property ID 0 (stud farm) to property ID 120 (saleyard)
3,3,240,DAY 04/11/2024 - moved 1 animals from property ID 3 (farm) to property ID 240 (feedlot)
3,12,244,DAY 04/11/2024 - moved 1 animals from property ID 12 (farm) to property ID 244 (feedlot)
3,47,100,DAY 04/11/2024 - moved 1 animals from property ID 47 (farm) to property ID 100 (saleyard)
3,61,30,DAY 04/11/2024 - moved 3 animals from property ID 61 (farm) to property ID 30 (abbattoir)
3,65,170,DAY 04/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 170 (farm)
3,65,0,DAY 04/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 0 (stud farm)
3,65,299,DAY 04/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 299 (farm)
3,90,163,DAY 04/11/2024 - moved 1 animals from property ID 90 (farm) to property ID 163 (farm)
3,96,240,DAY 04/11/2024 - moved 3 animals from property ID 96 (farm) to property ID 240 (feedlot)
3,100,149,DAY 04/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 149 (farm)
3,100,244,DAY 04/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 244 (feedlot)
3,100,297,DAY 04/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 297 (trader)
3,100,65,DAY 04/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 65 (trader)
3,109,0,DAY 04/11/2024 - moved 1 animals from property ID 109 (farm) to property ID 0 (stud farm)
3,112,0,DAY 04/11/2024 - moved 1 animals from property ID 112 (farm) to property ID 0 (stud farm)
3,115,240,DAY 04/11/2024 - moved 2 animals from property ID 115 (farm) to property ID 240 (feedlot)
3,120,226,DAY 04/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 226 (farm)
3,120,267,DAY 04/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 267 (farm)
3,120,30,DAY 04/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 30 (abbattoir)
3,120,34,DAY 04/11/2024 - moved 1 animals from property ID 120 (saleyard) to property ID 34 (farm)
3,127,0,DAY 04/11/2024 - moved 4 animals from property ID 127 (farm) to property ID 0 (stud farm)
3,134,271,DAY 04/11/2024 - moved 1 animals from property ID 134 (farm) to property ID 271 (farm)
3,143,30,DAY 04/11/2024 - moved 1 animals from property ID 143 (farm) to property ID 30 (abbattoir)
3,153,244,DAY 04/11/2024 - moved 1 animals from property ID 153 (farm) to property ID 244 (feedlot)
3,157,244,DAY 04/11/2024 - moved 1 animals from property ID 157 (farm) to property ID 244 (feedlot)
3,158,172,DAY 04/11/2024 - moved 3 animals from property ID 158 (farm) to property ID 172 (trader)
3,160,0,DAY 04/11/2024 - moved 8 animals from property ID 160 (saleyard) to property ID 0 (stud farm)
3,160,140,DAY 04/11/2024 - moved 9 animals from property ID 160 (saleyard) to property ID 140 (farm)
3,160,240,DAY 04/11/2024 - moved 9 animals from property ID 160 (saleyard) to property ID 240 (feedlot)
3,172,142,DAY 04/11/2024 - moved 6 animals from property ID 172 (trader) to property ID 142 (farm)
3,174,100,DAY 04/11/2024 - moved 1 animals from property ID 174 (farm) to property ID 100 (saleyard)
3,175,120,DAY 04/11/2024 - moved 19 animals from property ID 175 (farm) to property ID 120 (saleyard)
3,184,65,DAY 04/11/2024 - moved 1 animals from property ID 184 (farm) to property ID 65 (trader)
3,185,244,DAY 04/11/2024 - moved 1 animals from property ID 185 (farm) to property ID 244 (feedlot)
3,199,244,DAY 04/11/2024 - moved 1 animals from property ID 199 (farm) to property ID 244 (feedlot)
3,211,172,DAY 04/11/2024 - moved 1 animals from property ID 211 (farm) to property ID 172 (trader)
3,233,168,DAY 04/11/2024 - moved 1 animals from property ID 233 (farm) to property ID 168 (farm)
3,235,120,DAY 04/11/2024 - moved 1 animals from property ID 235 (farm) to property ID 120 (saleyard)
3,245,297,DAY 04/11/2024 - moved 19 animals from property ID 245 (farm) to property ID 297 (trader)
3,278,297,DAY 04/11/2024 - moved 2 animals from property ID 278 (farm) to property ID 297 (trader)
3,283,172,DAY 04/11/2024 - moved 1 animals from property ID 283 (farm) to property ID 172 (trader)
3,287,297,DAY 04/11/2024 - moved 4 animals from property ID 287 (farm) to property ID 297 (trader)
3,289,65,DAY 04/11/2024 - moved 1 animals from property ID 289 (farm) to property ID 65 (trader)
4,0,268,DAY 05/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 268 (farm)
4,0,140,DAY 05/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 140 (farm)
4,0,120,DAY 05/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 120 (saleyard)
4,0,100,DAY 05/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 100 (saleyard)
4,0,205,DAY 05/11/2024 - moved 2 animals from property ID 0 (stud farm) to property ID 205 (farm)
4,6,100,DAY 05/11/2024 - moved 1 animals from property ID 6 (farm) to property ID 100 (saleyard)
4,7,252,DAY 05/11/2024 - moved 49 animals from property ID 7 (saleyard) to property ID 252 (farm)
4,10,0,DAY 05/11/2024 - moved 6 animals from property ID 10 (farm) to property ID 0 (stud farm)
4,11,50,DAY 05/11/2024 - moved 1 animals from property ID 11 (farm) to property ID 50 (farm)
4,21,120,DAY 05/11/2024 - moved 1 animals from property ID 21 (farm) to property ID 120 (saleyard)
4,22,240,DAY 05/11/2024 - moved 2 animals from property ID 22 (farm) to property ID 240 (feedlot)
4,27,120,DAY 05/11/2024 - moved 1 animals from property ID 27 (farm) to property ID 120 (saleyard)
4,28,30,DAY 05/11/2024 - moved 5 animals from property ID 28 (farm) to property ID 30 (abbattoir)
4,33,212,DAY 05/11/2024 - moved 2 animals from property ID 33 (farm) to property ID 212 (farm)
4,52,297,DAY 05/11/2024 - moved 4 animals from property ID 52 (farm) to property ID 297 (trader)
4,54,0,DAY 05/11/2024 - moved 3 animals from property ID 54 (farm) to property ID 0 (stud farm)
4,56,30,DAY 05/11/2024 - moved 10 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
4,56,30,DAY 05/11/2024 - moved 10 animals from property ID 56 (feedlot) to property ID 30 (abbattoir)
4,57,172,DAY 05/11/2024 - moved 2 animals from property ID 57 (farm) to property ID 172 (trader)
4,58,100,DAY 05/11/2024 - moved 1 animals from property ID 58 (farm) to property ID 100 (saleyard)
4,62,297,DAY 05/11/2024 - moved 1 animals from property ID 62 (farm) to property ID 297 (trader)
4,65,147,DAY 05/11/2024 - moved 1 animals from property ID 65 (trader) to property ID 147 (farm)
4,65,171,DAY 05/11/2024 - moved 2 animals from property ID 65 (trader) to property ID 171 (farm)
4,73,188,DAY 05/11/2024 - moved 1 animals from property ID 73 (farm) to property ID 188 (feedlot)
4,86,297,DAY 05/11/2024 - moved 13 animals from property ID 86 (farm) to property ID 297 (trader)
4,93,100,DAY 05/11/2024 - moved 1 animals from property ID 93 (farm) to property ID 100 (saleyard)
4,98,176,DAY 05/11/2024 - moved 2 animals from property ID 98 (farm) to property ID 176 (farm)
4,99,147,DAY 05/11/2024 - moved 1 animals from property ID 99 (farm) to property ID 147 (farm)
4,100,136,DAY 05/11/2024 - moved 1 animals from property ID 100 (saleyard) to property ID 136 (farm)
4,100,7,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 7 (saleyard)
4,100,188,DAY 05/11/2024 - moved 2 animals from property ID 100 (saleyard) to property ID 188 (feedlot)
4,103,198,DAY 05/11/2024 - moved 1 animals from property ID 103 (farm) to property ID 198 (farm)
4,110,127,DAY 05/11/2024 - moved 44 animals from property ID 110 (farm) to property ID 127 (farm)
4,116,188,DAY 05/11/2024 - moved 1 animals from property ID 116 (farm) to property ID 188 (feedlot)
4,120,0,DAY 05/11/2024 - moved 5 animals from property ID 120 (saleyard) to property ID 0 (stud farm)
4,120,30,DAY 05/11/2024 - moved 4 animals from property ID 120 (saleyard) to property ID 30 (abbattoir)
4,144,30,DAY 05/11/2024 - moved 3 animals from property ID 144 (farm) to property ID 30 (abbattoir)
4,156,56,DAY 05/11/2024 - moved 1 animals from property ID 156 (farm) to property ID 56 (feedlot)
4,160,186,DAY 05/11/2024 - moved 5 animals from property ID 160 (saleyard) to property ID 186 (trader)
